Content ID,reaction type,Date,content type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06,photo,Studying,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09,photo,Studying,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28,photo,Healthy eating,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04,photo,Healthy eating,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14,video,Dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13,video,Dogs,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11,video,Dogs,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27,photo,Public speaking,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13,photo,Public speaking,negative,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07,GIF,Science,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2021-03-31,GIF,Tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-09-11,GIF,Tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-10-13,GIF,Tennis,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,2020-07-23,GIF,Tennis,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-12-08,video,Food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-01-05,video,Food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-11-08,video,Food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2021-04-19,video,Food,negative,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,2020-10-18,video,Food,negative,0
7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,2021-02-08,GIF,Fitness,negative,0
f332d362-dc48-46c2-a64b-641157c0987e,disgust,2021-02-15,GIF,Soccer,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-09,video,Public speaking,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2020-12-26,video,Public speaking,negative,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,2021-06-15,video,Public speaking,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2020-11-21,video,Food,negative,0
9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,2021-01-01,video,Food,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2021-04-10,video,Tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-12-14,video,Tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-10-06,video,Tennis,negative,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,2020-08-27,video,Tennis,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-09-13,GIF,Soccer,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2020-08-19,GIF,Soccer,negative,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,2021-03-09,GIF,Soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2020-12-12,GIF,Soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2021-03-30,GIF,Soccer,negative,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,2020-10-22,GIF,Soccer,negative,0
388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,2021-03-31,video,Education,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,2020-12-07,photo,Studying,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,2021-04-07,photo,Studying,negative,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,2020-07-06,photo,Studying,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-09-11,photo,Travel,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,2020-07-26,photo,Travel,negative,0
809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,2021-05-11,audio,Dogs,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,2021-04-28,GIF,Science,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,2020-08-05,GIF,Science,negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,2020-07-21,GIF,Veganism,negative,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,2020-06-21,GIF,Veganism,negative,0
f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,2021-03-08,photo,Healthy eating,negative,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,2021-02-21,video,Food,negative,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,2020-12-04,video,Food,negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-12-22,video,Dogs,negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-07-08,video,Dogs,negative,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,disgust,2020-10-22,video,Dogs,negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2021-01-17,video,Cooking,negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2020-06-23,video,Cooking,negative,0
eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,2020-10-10,audio,Food,negative,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,2020-08-01,photo,Technology,negative,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,2020-10-06,photo,Technology,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-06-30,GIF,Healthy eating,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2021-01-16,GIF,Healthy eating,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2021-05-21,GIF,Healthy eating,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-10-01,GIF,Healthy eating,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-07-07,GIF,Healthy eating,negative,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,2020-09-08,audio,Animals,negative,0
ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,2021-04-24,audio,Fitness,negative,0
ab4c4756-1c50-4136-bad9-3216e01ffac2,disgust,2021-03-18,audio,Fitness,negative,0
4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,2020-07-05,audio,Animals,negative,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,2020-11-12,photo,Fitness,negative,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,2020-09-21,photo,Fitness,negative,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,2021-04-18,photo,Fitness,negative,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,disgust,2021-01-27,photo,Fitness,negative,0
bfa4e11c-9d72-49b9-bd43-49d95c2e5181,disgust,2020-12-06,photo,Veganism,negative,0
220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,2020-06-26,video,Dogs,negative,0
220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,2021-05-18,video,Dogs,negative,0
220d9dc1-f8a5-422d-b200-3819f3b89b2b,disgust,2021-02-22,video,Dogs,negative,0
ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2020-09-01,GIF,Healthy eating,negative,0
ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2020-10-27,GIF,Healthy eating,negative,0
ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2021-03-25,GIF,Healthy eating,negative,0
18b4da8a-5f22-4dbe-b2af-c9013581cdd9,disgust,2021-02-07,GIF,Studying,negative,0
14ed7f7b-2c96-4458-8a39-606c25c14180,disgust,2021-02-24,video,Tennis,negative,0
c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,2020-11-24,GIF,Tennis,negative,0
c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,2021-01-22,GIF,Tennis,negative,0
c01fa154-5348-4040-9d20-0bbf01f6349b,disgust,2021-03-28,GIF,Tennis,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,2020-09-03,GIF,Travel,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,2020-11-10,GIF,Travel,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,2021-01-25,GIF,Travel,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,2020-06-26,GIF,Travel,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,disgust,2021-01-20,GIF,Travel,negative,0
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,2020-10-24,video,Science,negative,0
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,2020-08-07,video,Science,negative,0
